Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	51		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	53		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	54		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	55		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	56		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	57		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	59		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	61		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	106		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	108		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	109		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	110		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	111		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	112		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	114		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal?'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	116		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	50		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	52		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\Calculations\PPDMCalculationService.WellTest.cs	60		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	105		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	107		
Error (active)	CS0266	Cannot implicitly convert type 'double' to 'decimal'. An explicit conversion exists (are you missing a cast?)	Beep.OilandGas.LifeCycle (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.LifeCycle\Services\DataMapping\WellTestAnalysisMapper.cs	115		
