Severity	Code	Description	Project	File	Line	Suppression State	Details
Error (active)	CS0117	'PERMIT_APPLICATION' does not contain a definition for 'WASTE_TYPE'	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	180		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'APPLICATION_TYPE' and no accessible extension method 'APPLICATION_TYPE' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	204		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'STATUS' and no accessible extension method 'STATUS' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	205		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'COUNTRY' and no accessible extension method 'COUNTRY' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	206		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'STATE_PROVINCE' and no accessible extension method 'STATE_PROVINCE' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	207		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'REGULATORY_AUTHORITY' and no accessible extension method 'REGULATORY_AUTHORITY' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	208		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'SUBMITTED_DATE' and no accessible extension method 'SUBMITTED_DATE' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	209		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'RECEIVED_DATE' and no accessible extension method 'RECEIVED_DATE' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	210		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'DECISION_DATE' and no accessible extension method 'DECISION_DATE' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	211		
Error (active)	CS1061	'INJECTION_PERMIT_APPLICATION' does not contain a definition for 'DECISION' and no accessible extension method 'DECISION' accepting a first argument of type 'INJECTION_PERMIT_APPLICATION' could be found (are you missing a using directive or an assembly reference?)	Beep.OilandGas.PermitsAndApplications (net10.0)	C:\Users\f_ald\source\repos\The-Tech-Idea\Beep.OilandGas\Beep.OilandGas.PermitsAndApplications\DataMapping\ApplicationMapper.cs	214		
